SMSA_name,Per_capita_Retail_sales ,Per_capita_Retail_Establishments,Per_capita_income,Per_capita_federal_expenditures,Males_per_100_females 
"Cumberland, NC",7.179,0.901,15.969,9.507,105
"Cumberland, NJ",6.957,0.965,18.874,3.886,97
"Cumberland, PA",10.421,1.216,21.809,4.529,95
"Currituck, NC",4.883,1.077,15.424,2.938,103
"Cuyahoga, OH",7.379,0.934,22.76,4.689,89
"Dade, FL",9.025,1.059,16.855,3.988,92
"Dade, GA",5.944,1.066,12.274,2.429,96
"Dakota, MN",9.13,0.844,22.502,2.058,98
"Dakota, NE",5.447,1.085,15.533,3.446,99
"Dale, AL",3.723,0.935,14.586,9.282,101
"Dallas, IA",4.761,1.096,19.732,2.904,96
"Dallas, TX",9.896,1.145,23.488,3.78,97
"Dane, WI",9.595,1.015,22.204,4.866,97
"Dauphin, PA",8.435,1.105,21.537,8.974,92
"Davidson, NC",5.405,1.006,16.64,2.072,97
"Davidson, TN",11.67,1.27,22.512,3.7,90
"Davie, NC",4.649,1.194,20.345,2.399,97
"Daviess, KY",7.815,1.204,16.621,3.011,92
"Davis, UT",5.711,0.709,15.079,5.157,101
"De Kalb, GA",9.15,1.073,22.055,3.327,92
"De Kalb, IN",5.926,1.025,17.122,3.177,96
"DeKalb, IL",6.354,0.931,17.217,2.027,97
"DeSoto, MS",5.299,0.882,16.687,1.925,97
"Dearborn, IN",6.474,1.046,16.423,2.314,96
"Delaware, IN",7.317,0.97,17.511,2.965,91
"Delaware, OH",4.765,0.84,23.033,1.821,98
"Delaware, PA",8.057,0.931,24.512,3.935,91
"Denton, TX",6.065,0.968,19.484,1.789,98
"Denver, CO",8.065,1.107,24.172,10.397,95
"Dickson, TN",7.502,1.155,15.334,2.601,94
"Dinwiddie, VA",1.602,0.508,63.873,2.338,100
District of Columbia,6.203,0.863,27.972,34.691,88
"Dona Ana, NM",5.577,0.809,13.049,5.196,99
"Dorchester, SC",5.374,0.928,15.189,2.319,100
"Dougherty, GA",8.857,1.102,15.661,4.754,88
"Douglas, CO",4.912,0.97,26.342,0.866,101
"Douglas, GA",8.273,0.911,16.59,1.786,99
"Douglas, KS",6.832,1.026,15.736,2.397,99
"Douglas, NE",9.252,0.999,22.452,4.003,93
"Douglas, WI",7.725,1.133,15.483,4.383,95
"DuPage, IL",10.809,0.929,29.419,1.961,98
